no,product_name,pesticide_type,formulation,ingredient_name,ingredient_concentration,ingredient_unit,nama_komoditas,target_pest,dose_value,dose_unit,registered_at,expired_at
237,PLUSH 2/58 WP,Insektisida,WP,Monosultap,58,%,padi,penggerek batang,1,kg/ha,2024-11-18,2029-11-18
238,PLUSH 2/58 WP,Insektisida,WP,Monosultap,58,%,padi,penggerek batang,1.25,kg/ha,2024-11-18,2029-11-18
239,PORYZA 400 SL,Insektisida,SL,Dimehypo,400,g/l,padi,penggerek batang,"281,25",ml/ha,2024-03-05,2029-03-05
240,PREVATHON 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2022-01-14,2027-01-14
241,PREVATHON 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2022-01-14,2027-01-14
242,PREVATHON 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2022-01-14,2027-01-14
243,PREVATHON 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2022-01-14,2027-01-14
244,PREVATHON 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2022-01-14,2027-01-14
245,PREVATHON 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2022-01-14,2027-01-14
246,PREVATHON 50 SC,Insektisida,SC,Klorantraniliprol,50,g/l,padi,penggerek batang,3,ml/l,2022-01-14,2027-01-14
247,PRIMA-FUR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,20,kg/ha,2023-08-28,2028-08-28
248,PRIMA-FUR 3 GR,Insektisida,GR,Karbofuran,3,%,padi,penggerek batang,20,kg/ha,2023-08-28,2028-08-28
249,PRIMA-HIPO 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,1.125,ml/l,2024-08-09,2029-08-09
250,PRIMA-PRO 55 SC,Insektisida,SC,Fipronil,55,g/l,padi,penggerek batang,2,ml/l,2023-08-28,2028-08-28
251,PRIMAMECT 200 SC,Insektisida,SC,Emamektin Benzoat,50,g/l,padi,penggerek batang,1,ml/l,2023-08-28,2028-08-28
252,PRIMAMECT 200 SC,Insektisida,SC,Indoksakarb,150,g/l,padi,penggerek batang,1,ml/l,2023-08-28,2028-08-28
253,PROTRUDE 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,2,ml/l,2025-07-11,2030-07-11
254,PURDAN PLUS 3/3 GR,Insektisida,GR,dimehipo,3,%,padi,penggerek batang,15,kg/ha,2024-03-04,2029-03-04
255,PURDAN PLUS 3/3 GR,Insektisida,GR,karbofuran,3,%,padi,penggerek batang,15,kg/ha,2024-03-04,2029-03-04
256,R-JEN 100 SC,Insektisida,SC,Fipronil,100,g/l,padi,penggerek batang,"1,5",ml/l,2024-11-18,2029-11-18
257,REGENT 0.3 GR,Insektisida,GR,Fipronil,0.3,%,padi,penggerek batang,10,kg/ha,2026-04-20,2031-04-20
258,RESPECT 200 EC,Insektisida,EC,karbosulfan,200,g/l,padi,penggerek batang,"1,5 - 2",ml/l,2023-04-26,2028-04-26
259,SAGRI-CLEAN 150/350 SC,Insektisida,SC,fipronil,150,g/l,padi,penggerek batang,"0,5",ml/l,2024-08-09,2029-08-09
260,SAGRI-CLEAN 150/350 SC,Insektisida,SC,metoksifenosida,350,g/l,padi,penggerek batang,"0,5",ml/l,2024-08-09,2029-08-09
261,SANDIMAS 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,3,ml/l,2026-01-20,2031-01-20
262,SIDAMEC 20 EC,Insektisida,EC,abamektin,20,g/l,padi,penggerek batang,1,ml/l,2025-09-26,2030-09-26
263,SIDATAN 410 SL,Insektisida,SL,Dimehipo,410,g/l,padi,penggerek batang,1,ml/l,2022-01-14,2027-01-14
264,SIDATAN XR 525 SL,Insektisida,SL,Dimehipo,525,g/l,padi,penggerek batang,0.75,ml/l,2022-11-18,2027-11-18
265,SPINOTAM 480 SC,Insektisida,SC,Spinosad,480,g/l,padi,penggerek batang,"1,5",ml/l,2025-02-17,2030-02-17
266,SPONTAN 400 SL,Insektisida,SL,Dimehipo,400,g/l,padi,penggerek batang,3,ml/l,2024-03-05,2029-03-05
267,SPONTANKING 400 SL,Insektisida,SL,Monosultap,400,g/l,padi,penggerek batang,3,ml/l,2022-06-27,2027-06-27
268,SPONTANKING 400 SL,Insektisida,SL,Monosultap,400,g/l,padi,penggerek batang,3,ml/l,2022-06-27,2027-06-27
269,SPONTANKING 400 SL,Insektisida,SL,Monosultap,400,g/l,padi,penggerek batang,3,ml/l,2022-06-27,2027-06-27
270,SPONTAS 450 SL,Insektisida,SL,dimehipo,450,g/l,padi,penggerek batang,2.25,ml/l,2022-10-04,2027-10-04
271,SPORTIF 505 SL,Insektisida,SL,Dimehypo,505,g/l,padi,penggerek batang,1,ml/l,2025-02-17,2030-02-17
272,STARGATE 600 SC,Insektisida,SC,Klotianidin,600,g/l,padi,penggerek batang,1,ml/l,2024-09-19,2029-09-19
273,STARLET 400 SL,Insektisida,SL,Bisultap,400,g/l,padi,penggerek batang,2,ml/l,2022-12-05,2027-12-05
274,STARLET 400 SL,Insektisida,SL,Bisultap,400,g/l,padi,penggerek batang,2,ml/l,2022-12-05,2027-12-05
275,STUNTMAN 500 SL,Insektisida,SL,Dimehipo,500,g/l,padi,penggerek batang,1,ml/l,2024-03-05,2029-03-05
276,SUPEMEC 18 EC,Insektisida,EC,abamektin,18,g/l,padi,penggerek batang,2,ml/l,2024-03-05,2029-03-05
277,Tecam 80 WG,Insektisida,WG,Fipronil,80,%,padi,penggerek batang,150,g/ha,2023-02-08,2028-02-08
